,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
count,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
mean,0.6366564102564103,0.6384314871794872,5.4974358974358974,-9.48163076923077,0.5384615384615384,0.1489574358974359,0.3190930907179487,0.19233725558974357,0.1484553846153846,0.4936317948717948,121.08617435897436,213408.93333333332,3.9128205128205127,0.5128205128205128
std,0.2166139610959702,0.2600958155534138,3.4152090983280465,6.525085952514968,0.4998017053263279,0.12041365252761405,0.32078166393663415,0.3462260097438986,0.10597454571458735,0.26769505349237893,28.08482882875693,72152.39286421218,0.4513322131062268,0.501122187694514
min,0.13,0.0024,0.0,-42.261,0.0,0.0278,3.05e-06,0.0,0.0331,0.0353,60.171,77203.0,1.0,0.0
25%,0.4625,0.5335000000000001,2.0,-9.962,0.0,0.0568,0.0422,0.0,0.08399999999999999,0.269,100.24199999999999,178300.5,4.0,0.0
50%,0.705,0.659,6.0,-7.766,1.0,0.0962,0.213,7.6e-06,0.105,0.525,124.896,204000.0,4.0,1.0
75%,0.799,0.8374999999999999,8.0,-5.829000000000001,1.0,0.2305,0.504,0.0975,0.177,0.7175,142.4605,242373.5,4.0,1.0
max,0.946,0.996,11.0,-2.336,1.0,0.54,0.995,0.969,0.633,0.98,180.036,655213.0,5.0,1.0
